Stadium,Capacity,City,Country,active
The National Stadium,"53,000",Cardiff,Wales,FALSE
Lansdowne Road,"49,000",Dublin,Ireland,FALSE
PETCO Park,"42,445",San Diego,United States,FALSE
Athletic Park,"39,000",Wellington,New Zealand,FALSE
Lancaster Park,"36,000",Christchurch,New Zealand,FALSE
Carisbrook,"29,000",Dunedin,New Zealand,FALSE
Dignity Health Sports Park,"27,000",Carson,United States,FALSE
Cardiff City Stadium,"26,828",Cardiff,Wales,FALSE
Vicarage Road,"19,920",Watford,England,FALSE
Loftus Road,"18,500",London,England,FALSE
Meadowbank Stadium,"16,500",Edinburgh,Scotland,FALSE
Racecourse Ground,"15,500",Wrexham,Wales,FALSE
Stade Jean-Bouin,"12,000",Paris,France,FALSE
Edgeley Park,"10,900",Stockport,England,FALSE
Firhill,"10,887",Glasgow,Scotland,FALSE
FNB Stadium,"94,736",Johannesburg,South Africa,TRUE
ANZ Stadium,"84,000",Sydney,Australia,TRUE
Twickenham Stadium,"82,000",London,England,TRUE
Stade de France,"81,338",Saint-Denis,France,TRUE
Millennium Stadium,"74,500",Cardiff,Wales,TRUE
Stadio Olimpico,"73,000",Rome,Italy,TRUE
Murrayfield Stadium,"67,800",Edinburgh,Scotland,TRUE
Ellis Park Stadium,"62,567",Johannesburg,South Africa,TRUE
Soldier Field,"61,500",Chicago,United States,TRUE
Stade Vélodrome,"60,013",Marseille,France,TRUE
Optus Stadium,"60,000",Perth,Australia,TRUE
Marvel Stadium,"56,347",Melbourne,Australia,TRUE
Boris Paichadze Stadium,"56,000",Tbilisi,Georgia,TRUE
Cape Town Stadium,"55,000",Cape Town,South Africa,TRUE
National Stadium,"55,000",Singapore,Singapore,TRUE
Estadio Ciudad de La Plata,"53,000",La Plata,Argentina,TRUE
Suncorp Stadium,"52,500",Brisbane,Australia,TRUE
Kings Park Stadium,"52,000",Durban,South Africa,TRUE
DHL Newlands,"51,900",Cape Town,South Africa,TRUE
Loftus Versfeld Stadium,"51,762",Pretoria,South Africa,TRUE
Aviva Stadium,"51,700",Dublin,Ireland,TRUE
King Baudouin Stadium,"51,122",Brussels,Belgium,TRUE
Eden Park,"50,000",Auckland,New Zealand,TRUE
The Sevens,"50,000[a 4]",Dubai,United Arab Emirates,TRUE
Estadio José Amalfitani,"49,540",Buenos Aires,Argentina,TRUE
Nelson Mandela Bay Stadium,"48,459",Port Elizabeth,South Africa,TRUE
Allianz Stadium,"45,500",Sydney,Australia,TRUE
Toyota Stadium,"45,000",Toyota,Japan,TRUE
Patersons Stadium,"42,922",Perth,Australia,TRUE
Matmut Atlantique,"42,115",Bordeaux,France,TRUE
Hong Kong Stadium,"40,000",Wanchai,Hong Kong,TRUE
Stadio della Vittoria,"40,000",Bari,Italy,TRUE
Sam Boyd Stadium,"36,800",Las Vegas,United States,TRUE
Free State Stadium,"36,538",Bloemfontein,South Africa,TRUE
Allianz Riviera,"35,624",Nice,France,TRUE
Renato Dall'Ara Stadium,"35,624",Bologne,Italy,TRUE
Stadium Municipal,"35,472",Toulouse,France,TRUE
Westpac Stadium,"34,500",Wellington,New Zealand,TRUE
Stade Chaban-Delmas,"34,462",Bordeaux,France,TRUE
Simonds Stadium,"34,074",Geelong,Australia,TRUE
Rotorua International Stadium,"34,000",Rotorua,New Zealand,TRUE
